GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tradestoreapi,com.tradestore,Application,5,3,0,0,2,1,1,1,1,1
tradestoreapi,com.tradestore.entity,TradeKey,55,3,8,0,10,2,7,1,3,1
tradestoreapi,com.tradestore.entity,TradeStoreEntity,24,52,0,0,9,23,1,15,1,15
tradestoreapi,com.tradestore.service,TradeExpiredScheduler,0,16,0,2,0,7,0,3,0,2
tradestoreapi,com.tradestore.service,TradeStoreServiceImpl,3,151,1,5,0,36,1,10,0,8
tradestoreapi,com.tradestore.model,TradeStore,270,52,56,0,1,9,33,15,5,15
tradestoreapi,com.tradestore.cotroller,TradeStoreController,2,65,1,2,1,16,1,6,0,5
tradestoreapi,com.tradestore.validate,TradeExceptionHandler,30,32,0,0,6,8,2,3,2,3
tradestoreapi,com.tradestore.validate,UnprocessableEntityException,4,0,0,0,2,0,1,0,1,0
tradestoreapi,com.tradestore.validate,ValidateTradeInputs,19,3,2,0,6,1,3,1,2,1
